machine,limits,benchmark,class,lower_is_better,repetition,result
"issdm-6","with","stressng-cpu-ackermann","cpu",false,"1",0.738698
"issdm-6","with","stressng-cpu-bitops","cpu",false,"1",128.87763
"issdm-6","with","stressng-cpu-callfunc","cpu",false,"1",17637.443025
"issdm-6","with","stressng-cpu-cdouble","cpu",false,"1",225.798848
"issdm-6","with","stressng-cpu-cfloat","cpu",false,"1",160.300367
"issdm-6","with","stressng-cpu-clongdouble","cpu",false,"1",100.091063
"issdm-6","with","stressng-cpu-correlate","cpu",false,"1",1.869618
"issdm-6","with","stressng-cpu-crc16","cpu",false,"1",9.550258
"issdm-6","with","stressng-cpu-decimal32","cpu",false,"1",72.156559
"issdm-6","with","stressng-cpu-decimal64","cpu",false,"1",86.691522
"issdm-6","with","stressng-cpu-decimal128","cpu",false,"1",13.898575
"issdm-6","with","stressng-cpu-dither","cpu",false,"1",9.629932
"issdm-6","with","stressng-cpu-djb2a","cpu",false,"1",5520.639223
"issdm-6","with","stressng-cpu-double","cpu",false,"1",361.797033
"issdm-6","with","stressng-cpu-euler","cpu",false,"1",365865.265207
"issdm-6","with","stressng-cpu-explog","cpu",false,"1",7.13568
"issdm-6","with","stressng-cpu-fft","cpu",false,"1",15.89834
"issdm-6","with","stressng-cpu-fibonacci","cpu",false,"1",903164.75778
"issdm-6","with","stressng-cpu-float","cpu",false,"1",1268.505081
"issdm-6","with","stressng-cpu-fnv1a","cpu",false,"1",5649.846338
"issdm-6","with","stressng-cpu-gamma","cpu",false,"1",12.28455
"issdm-6","with","stressng-cpu-gcd","cpu",false,"1",62.697398
"issdm-6","with","stressng-cpu-gray","cpu",false,"1",364.954823
"issdm-6","with","stressng-cpu-hamming","cpu",false,"1",29.969473
"issdm-6","with","stressng-cpu-hanoi","cpu",false,"1",8.530594
"issdm-6","with","stressng-cpu-hyperbolic","cpu",false,"1",51.544383
"issdm-6","with","stressng-cpu-idct","cpu",false,"1",1146.610087
"issdm-6","with","stressng-cpu-int128","cpu",false,"1",291.430457
"issdm-6","with","stressng-cpu-int64","cpu",false,"1",2802.221312
"issdm-6","with","stressng-cpu-int32","cpu",false,"1",3314.447464
"issdm-6","with","stressng-cpu-int16","cpu",false,"1",3057.327845
"issdm-6","with","stressng-cpu-int8","cpu",false,"1",3313.254329
"issdm-6","with","stressng-cpu-int128float","cpu",false,"1",248.76253
"issdm-6","with","stressng-cpu-int128double","cpu",false,"1",167.492996
"issdm-6","with","stressng-cpu-int128longdouble","cpu",false,"1",39.954815
"issdm-6","with","stressng-cpu-int128decimal32","cpu",false,"1",58.441447
"issdm-6","with","stressng-cpu-int128decimal64","cpu",false,"1",66.965353
"issdm-6","with","stressng-cpu-int128decimal128","cpu",false,"1",13.298473
"issdm-6","with","stressng-cpu-int64float","cpu",false,"1",1028.304952
"issdm-6","with","stressng-cpu-int64double","cpu",false,"1",338.585053
"issdm-6","with","stressng-cpu-int64longdouble","cpu",false,"1",46.107568
"issdm-6","with","stressng-cpu-int32float","cpu",false,"1",1115.778313
"issdm-6","with","stressng-cpu-int32double","cpu",false,"1",340.177617
"issdm-6","with","stressng-cpu-int32longdouble","cpu",false,"1",46.198356
"issdm-6","with","stressng-cpu-jenkin","cpu",false,"1",1706.527391
"issdm-6","with","stressng-cpu-jmp","cpu",false,"1",2036.116311
"issdm-6","with","stressng-cpu-ln2","cpu",false,"1",1469.976815
"issdm-6","with","stressng-cpu-longdouble","cpu",false,"1",46.762659
"issdm-6","with","stressng-cpu-loop","cpu",false,"1",1352.304739
"issdm-6","with","stressng-cpu-matrixprod","cpu",false,"1",5.083891
"issdm-6","with","stressng-cpu-nsqrt","cpu",false,"1",9.232618
"issdm-6","with","stressng-cpu-omega","cpu",false,"1",167460.693408
"issdm-6","with","stressng-cpu-parity","cpu",false,"1",1075.298514
"issdm-6","with","stressng-cpu-phi","cpu",false,"1",708158.377099
"issdm-6","with","stressng-cpu-pi","cpu",false,"1",51373.690392
"issdm-6","with","stressng-cpu-pjw","cpu",false,"1",2899.6215
"issdm-6","with","stressng-cpu-prime","cpu",false,"1",0.215367
"issdm-6","with","stressng-cpu-psi","cpu",false,"1",89517.051567
"issdm-6","with","stressng-cpu-queens","cpu",false,"1",5.682818
"issdm-6","with","stressng-cpu-rand","cpu",false,"1",1221.003668
"issdm-6","with","stressng-cpu-rand48","cpu",false,"1",146.462589
"issdm-6","with","stressng-cpu-rgb","cpu",false,"1",3174.319677
"issdm-6","with","stressng-cpu-sdbm","cpu",false,"1",5466.949139
"issdm-6","with","stressng-cpu-sieve","cpu",false,"1",0.864419
"issdm-6","with","stressng-cpu-sqrt","cpu",false,"1",386.598691
